Регион ,Федеральный округ,дата,случаи заболевания,население,количество смертей
Псковская область,Северо-Западный федеральный округ,27.04.2020,14,626046,1
Республика Адыгея,Южный федеральный округ,27.04.2020,8,463453,
Республика Алтай,Сибирский федеральный округ,27.04.2020,12,220140,
Республика Башкортостан,Приволжский федеральный округ,27.04.2020,43,4037811,
Республика Дагестан,Северо-Кавказский федеральный округ,27.04.2020,167,3111353,
Республика Ингушетия,Северо-Кавказский федеральный округ,27.04.2020,38,506688,4
Республика Калмыкия,Южный федеральный округ,27.04.2020,12,271035,
Республика Карелия,Северо-Западный федеральный округ,27.04.2020,12,614628,
Республика Коми,Северо-Западный федеральный округ,27.04.2020,12,820171,
Республика Крым,Южный федеральный округ,27.04.2020,2,1912025,
Республика Марий Эл,Приволжский федеральный округ,27.04.2020,31,679094,
Республика Мордовия,Приволжский федеральный округ,27.04.2020,42,790829,
Республика Саха (Якутия),Дальневосточный федеральный округ,27.04.2020,7,970105,1
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,27.04.2020,53,697064,
Республика Татарстан,Приволжский федеральный округ,27.04.2020,70,3902642,
Республика Тыва,Сибирский федеральный округ,27.04.2020,3,327388,
Республика Хакасия,Сибирский федеральный округ,27.04.2020,8,534186,
Республика Чувашия,Приволжский федеральный округ,27.04.2020,42,1217820,
Ростовская область,Южный федеральный округ,27.04.2020,65,4195327,1
Рязанская область,Центральный федеральный округ,27.04.2020,85,1108924,3
Самарская область,Приволжский федеральный округ,27.04.2020,35,3179026,
Санкт-Петербург,Северо-Западный федеральный округ,27.04.2020,161,5392992,
Саратовская область,Приволжский федеральный округ,27.04.2020,22,2421785,
Сахалинская область,Дальневосточный федеральный округ,27.04.2020,1,488453,
Свердловская область,Уральский федеральный округ,27.04.2020,59,4310861,
Севастополь,Южный федеральный округ,27.04.2020,3,448829,
Смоленская область,Центральный федеральный округ,27.04.2020,35,934747,
Ставропольский край,Северо-Кавказский федеральный округ,27.04.2020,33,2803021,
Тамбовская область,Центральный федеральный округ,27.04.2020,61,1006962,
Тверская область,Центральный федеральный округ,27.04.2020,34,1260345,
Томская область,Сибирский федеральный округ,27.04.2020,9,1079051,
Тульская область,Центральный федеральный округ,27.04.2020,69,1466025,
Тюменская область,Уральский федеральный округ,27.04.2020,13,1537684,
Удмуртская Республика,Приволжский федеральный округ,27.04.2020,5,1501005,1
Ульяновская область,Приволжский федеральный округ,27.04.2020,24,1229687,1
Хабаровский край,Дальневосточный федеральный округ,27.04.2020,33,1315310,
Ханты-Мансийский АО,Уральский федеральный округ,27.04.2020,23,1674086,1
Челябинская область,Уральский федеральный округ,27.04.2020,58,3466960,
Чеченская Республика,Северо-Кавказский федеральный округ,27.04.2020,20,1476752,
Чукотский АО,Дальневосточный федеральный округ,27.04.2020,2,50726,
Ямало-Ненецкий автономный округ,Уральский федеральный округ,27.04.2020,27,544008,
Ярославская область,Центральный федеральный округ,27.04.2020,25,1253189,1
Республика Бурятия,Дальневосточный федеральный округ,27.04.2020,23,986109,
Алтайский край,Сибирский федеральный округ,28.04.2020,14,2317052,
Амурская область,Дальневосточный федеральный округ,28.04.2020,1,790676,
Архангельская область,Северо-Западный федеральный округ,28.04.2020,6,1092277,
Астраханская область,Южный федеральный округ,28.04.2020,8,1005967,
Белгородская область,Центральный федеральный округ,28.04.2020,30,1547532,1
Брянская область,Центральный федеральный округ,28.04.2020,26,1192570,
Владимирская область,Центральный федеральный округ,28.04.2020,79,1358538,
Волгоградская область,Южный федеральный округ,28.04.2020,25,2491751,
Вологодская область,Северо-Западный федеральный округ,28.04.2020,5,1160721,
Воронежская область,Центральный федеральный округ,28.04.2020,62,2323657,
Еврейская автономная область,Дальневосточный федеральный округ,28.04.2020,12,158381,
Забайкальский край,Дальневосточный федеральный округ,28.04.2020,7,1059657,
Ивановская область,Центральный федеральный округ,28.04.2020,14,997196,
Иркутская область,Сибирский федеральный округ,28.04.2020,8,2390827,
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,28.04.2020,38,868174,
Калининградская область,Северо-Западный федеральный округ,28.04.2020,39,1012253,
Калужская область,Центральный федеральный округ,28.04.2020,67,1000070,4
Камчатский край,Дальневосточный федеральный округ,28.04.2020,8,312438,
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,28.04.2020,13,465669,
Кемеровская область,Сибирский федеральный округ,28.04.2020,4,2657758,1
Кировская область,Приволжский федеральный округ,28.04.2020,35,1262549,
Костромская область,Центральный федеральный округ,28.04.2020,22,633392,
Краснодарский край,Южный федеральный округ,28.04.2020,51,5677786,
Красноярский край,Сибирский федеральный округ,28.04.2020,47,2867875,2
Курганская область,Уральский федеральный округ,28.04.2020,2,826941,
Курская область,Центральный федеральный округ,28.04.2020,65,1103059,
Ленинградская область,Северо-Западный федеральный округ,28.04.2020,38,1876392,
Липецкая область,Центральный федеральный округ,28.04.2020,26,1139492,
Магаданская область,Дальневосточный федеральный округ,28.04.2020,1,140199,2
Москва ,Центральный федеральный округ,28.04.2020,3075,12692466,44
Московская обл.,Центральный федеральный округ,28.04.2020,523,7687647,3
Мурманская область,Северо-Западный федеральный округ,28.04.2020,67,741511,
Нижегородская область,Приволжский федеральный округ,28.04.2020,89,3203818,
Новгородская область,Северо-Западный федеральный округ,28.04.2020,10,596173,
Новосибирская область,Сибирский федеральный округ,28.04.2020,60,2798251,
Омская область,Сибирский федеральный округ,28.04.2020,11,1926562,
Оренбургская область,Приволжский федеральный округ,28.04.2020,65,1956256,
Орловская область,Центральный федеральный округ,28.04.2020,53,733682,
Пензенская область,Приволжский федеральный округ,28.04.2020,39,1304825,1
Пермский край,Приволжский федеральный округ,28.04.2020,17,2599301,
Приморский край,Дальневосточный федеральный округ,28.04.2020,45,1895305,
Псковская область,Северо-Западный федеральный округ,28.04.2020,4,626046,
Республика Адыгея,Южный федеральный округ,28.04.2020,8,463453,
Республика Башкортостан,Приволжский федеральный округ,28.04.2020,61,4037811,
Республика Дагестан,Северо-Кавказский федеральный округ,28.04.2020,153,3111353,
Республика Ингушетия,Северо-Кавказский федеральный округ,28.04.2020,43,506688,1
Республика Калмыкия,Южный федеральный округ,28.04.2020,9,271035,
Республика Карелия,Северо-Западный федеральный округ,28.04.2020,6,614628,
Республика Коми,Северо-Западный федеральный округ,28.04.2020,7,820171,
Республика Крым,Южный федеральный округ,28.04.2020,1,1912025,
Республика Марий Эл,Приволжский федеральный округ,28.04.2020,38,679094,
Республика Мордовия,Приволжский федеральный округ,28.04.2020,32,790829,
Республика Саха (Якутия),Дальневосточный федеральный округ,28.04.2020,7,970105,
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,28.04.2020,148,697064,
Республика Татарстан,Приволжский федеральный округ,28.04.2020,65,3902642,
Республика Тыва,Сибирский федеральный округ,28.04.2020,1,327388,
Республика Хакасия,Сибирский федеральный округ,28.04.2020,22,534186,5
Республика Чувашия,Приволжский федеральный округ,28.04.2020,39,1217820,
Ростовская область,Южный федеральный округ,28.04.2020,64,4195327,
Рязанская область,Центральный федеральный округ,28.04.2020,101,1108924,
Самарская область,Приволжский федеральный округ,28.04.2020,8,3179026,3
Санкт-Петербург,Северо-Западный федеральный округ,28.04.2020,198,5392992,
Саратовская область,Приволжский федеральный округ,28.04.2020,32,2421785,
Сахалинская область,Дальневосточный федеральный округ,28.04.2020,1,488453,
Свердловская область,Уральский федеральный округ,28.04.2020,85,4310861,
Севастополь,Южный федеральный округ,28.04.2020,3,448829,
Смоленская область,Центральный федеральный округ,28.04.2020,45,934747,1
Ставропольский край,Северо-Кавказский федеральный округ,28.04.2020,37,2803021,
Тамбовская область,Центральный федеральный округ,28.04.2020,33,1006962,
Тверская область,Центральный федеральный округ,28.04.2020,9,1260345,
Томская область,Сибирский федеральный округ,28.04.2020,5,1079051,
Тульская область,Центральный федеральный округ,28.04.2020,70,1466025,
Тюменская область,Уральский федеральный округ,28.04.2020,5,1537684,
Удмуртская Республика,Приволжский федеральный округ,28.04.2020,5,1501005,1
Ульяновская область,Приволжский федеральный округ,28.04.2020,29,1229687,
Хабаровский край,Дальневосточный федеральный округ,28.04.2020,28,1315310,
Ханты-Мансийский АО,Уральский федеральный округ,28.04.2020,41,1674086,
Челябинская область,Уральский федеральный округ,28.04.2020,48,3466960,
Чеченская Республика,Северо-Кавказский федеральный округ,28.04.2020,18,1476752,1
Ямало-Ненецкий автономный округ,Уральский федеральный округ,28.04.2020,12,544008,
Ярославская область,Центральный федеральный округ,28.04.2020,47,1253189,
Ненецкий АО,Северо-Западный федеральный округ,28.04.2020,18,44110,
Чукотский АО,Дальневосточный федеральный округ,28.04.2020,,50726,
Республика Алтай,Сибирский федеральный округ,28.04.2020,,220140,
Республика Бурятия,Дальневосточный федеральный округ,28.04.2020,18,986109,
Алтайский край,Сибирский федеральный округ,29.04.2020,24,2317052,
Амурская область,Дальневосточный федеральный округ,29.04.2020,5,790676,
Архангельская область,Северо-Западный федеральный округ,29.04.2020,4,1092277,
Астраханская область,Южный федеральный округ,29.04.2020,44,1005967,
Белгородская область,Центральный федеральный округ,29.04.2020,28,1547532,
Брянская область,Центральный федеральный округ,29.04.2020,115,1192570,
Владимирская область,Центральный федеральный округ,29.04.2020,37,1358538,
Волгоградская область,Южный федеральный округ,29.04.2020,16,2491751,
Вологодская область,Северо-Западный федеральный округ,29.04.2020,6,1160721,
Воронежская область,Центральный федеральный округ,29.04.2020,39,2323657,
Еврейская автономная область,Дальневосточный федеральный округ,29.04.2020,5,158381,
Забайкальский край,Дальневосточный федеральный округ,29.04.2020,6,1059657,
Ивановская область,Центральный федеральный округ,29.04.2020,31,997196,
Иркутская область,Сибирский федеральный округ,29.04.2020,6,2390827,
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,29.04.2020,45,868174,1
Калининградская область,Северо-Западный федеральный округ,29.04.2020,23,1012253,
Калужская область,Центральный федеральный округ,29.04.2020,66,1000070,
Камчатский край,Дальневосточный федеральный округ,29.04.2020,38,312438,
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,29.04.2020,16,465669,
Кемеровская область,Сибирский федеральный округ,29.04.2020,3,2657758,
Кировская область,Приволжский федеральный округ,29.04.2020,43,1262549,1
Костромская область,Центральный федеральный округ,29.04.2020,13,633392,
Краснодарский край,Южный федеральный округ,29.04.2020,63,5677786,1
Красноярский край,Сибирский федеральный округ,29.04.2020,35,2867875,
Курганская область,Уральский федеральный округ,29.04.2020,6,826941,
Курская область,Центральный федеральный округ,29.04.2020,68,1103059,
Ленинградская область,Северо-Западный федеральный округ,29.04.2020,53,1876392,1
Липецкая область,Центральный федеральный округ,29.04.2020,28,1139492,
Магаданская область,Дальневосточный федеральный округ,29.04.2020,7,140199,
Москва ,Центральный федеральный округ,29.04.2020,2220,12692466,67
Московская обл.,Центральный федеральный округ,29.04.2020,686,7687647,16
Мурманская область,Северо-Западный федеральный округ,29.04.2020,70,741511,
Нижегородская область,Приволжский федеральный округ,29.04.2020,131,3203818,2
Новгородская область,Северо-Западный федеральный округ,29.04.2020,12,596173,
Новосибирская область,Сибирский федеральный округ,29.04.2020,29,2798251,
Омская область,Сибирский федеральный округ,29.04.2020,5,1926562,1
Оренбургская область,Приволжский федеральный округ,29.04.2020,37,1956256,1
Орловская область,Центральный федеральный округ,29.04.2020,38,733682,1
Пензенская область,Приволжский федеральный округ,29.04.2020,42,1304825,
Пермский край,Приволжский федеральный округ,29.04.2020,10,2599301,1
Приморский край,Дальневосточный федеральный округ,29.04.2020,20,1895305,
Псковская область,Северо-Западный федеральный округ,29.04.2020,14,626046,
Республика Адыгея,Южный федеральный округ,29.04.2020,4,463453,
Республика Башкортостан,Приволжский федеральный округ,29.04.2020,60,4037811,
Республика Дагестан,Северо-Кавказский федеральный округ,29.04.2020,84,3111353,1
Республика Ингушетия,Северо-Кавказский федеральный округ,29.04.2020,46,506688,1
Республика Калмыкия,Южный федеральный округ,29.04.2020,16,271035,
Республика Карелия,Северо-Западный федеральный округ,29.04.2020,1,614628,
Республика Коми,Северо-Западный федеральный округ,29.04.2020,14,820171,
Республика Крым,Южный федеральный округ,29.04.2020,9,1912025,
Республика Марий Эл,Приволжский федеральный округ,29.04.2020,35,679094,
Республика Мордовия,Приволжский федеральный округ,29.04.2020,67,790829,1
Республика Саха (Якутия),Дальневосточный федеральный округ,29.04.2020,17,970105,1
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,29.04.2020,121,697064,
Республика Татарстан,Приволжский федеральный округ,29.04.2020,55,3902642,1
Республика Тыва,Сибирский федеральный округ,29.04.2020,,327388,
Республика Хакасия,Сибирский федеральный округ,29.04.2020,22,534186,
Республика Чувашия,Приволжский федеральный округ,29.04.2020,37,1217820,
Ростовская область,Южный федеральный округ,29.04.2020,86,4195327,1
Рязанская область,Центральный федеральный округ,29.04.2020,52,1108924,
Самарская область,Приволжский федеральный округ,29.04.2020,55,3179026,
Санкт-Петербург,Северо-Западный федеральный округ,29.04.2020,290,5392992,2
Саратовская область,Приволжский федеральный округ,29.04.2020,33,2421785,
Сахалинская область,Дальневосточный федеральный округ,29.04.2020,,488453,
Свердловская область,Уральский федеральный округ,29.04.2020,90,4310861,
Севастополь,Южный федеральный округ,29.04.2020,40,448829,
Смоленская область,Центральный федеральный округ,29.04.2020,34,934747,
Ставропольский край,Северо-Кавказский федеральный округ,29.04.2020,28,2803021,4
Тамбовская область,Центральный федеральный округ,29.04.2020,44,1006962,
Тверская область,Центральный федеральный округ,29.04.2020,11,1260345,
Томская область,Сибирский федеральный округ,29.04.2020,6,1079051,
Тульская область,Центральный федеральный округ,29.04.2020,90,1466025,1
Тюменская область,Уральский федеральный округ,29.04.2020,16,1537684,
Удмуртская Республика,Приволжский федеральный округ,29.04.2020,5,1501005,
Ульяновская область,Приволжский федеральный округ,29.04.2020,19,1229687,
Хабаровский край,Дальневосточный федеральный округ,29.04.2020,31,1315310,
Ханты-Мансийский АО,Уральский федеральный округ,29.04.2020,28,1674086,
Челябинская область,Уральский федеральный округ,29.04.2020,19,3466960,1
Чеченская Республика,Северо-Кавказский федеральный округ,29.04.2020,18,1476752,
Ямало-Ненецкий автономный округ,Уральский федеральный округ,29.04.2020,22,544008,
Ярославская область,Центральный федеральный округ,29.04.2020,27,1253189,1
Ненецкий АО,Северо-Западный федеральный округ,29.04.2020,1,44110,
Чукотский АО,Дальневосточный федеральный округ,29.04.2020,,50726,
Республика Алтай,Сибирский федеральный округ,29.04.2020,3,220140,
Республика Бурятия,Дальневосточный федеральный округ,29.04.2020,18,986109,
Алтайский край,Сибирский федеральный округ,30.04.2020,34,2317052,
Амурская область,Дальневосточный федеральный округ,30.04.2020,10,790676,1
Архангельская область,Северо-Западный федеральный округ,30.04.2020,13,1092277,
Астраханская область,Южный федеральный округ,30.04.2020,15,1005967,
Белгородская область,Центральный федеральный округ,30.04.2020,28,1547532,1
Брянская область,Центральный федеральный округ,30.04.2020,118,1192570,4
Владимирская область,Центральный федеральный округ,30.04.2020,35,1358538,
Волгоградская область,Южный федеральный округ,30.04.2020,31,2491751,
Вологодская область,Северо-Западный федеральный округ,30.04.2020,7,1160721,
Воронежская область,Центральный федеральный округ,30.04.2020,34,2323657,1
Еврейская автономная область,Дальневосточный федеральный округ,30.04.2020,6,158381,
Забайкальский край,Дальневосточный федеральный округ,30.04.2020,5,1059657,
Ивановская область,Центральный федеральный округ,30.04.2020,32,997196,1
Иркутская область,Сибирский федеральный округ,30.04.2020,4,2390827,
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,30.04.2020,44,868174,
Калининградская область,Северо-Западный федеральный округ,30.04.2020,32,1012253,
Калужская область,Центральный федеральный округ,30.04.2020,113,1000070,
Камчатский край,Дальневосточный федеральный округ,30.04.2020,24,312438,
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,30.04.2020,22,465669,
Кемеровская область,Сибирский федеральный округ,30.04.2020,12,2657758,
Кировская область,Приволжский федеральный округ,30.04.2020,27,1262549,
Костромская область,Центральный федеральный округ,30.04.2020,18,633392,
Краснодарский край,Южный федеральный округ,30.04.2020,66,5677786,
Красноярский край,Сибирский федеральный округ,30.04.2020,57,2867875,1
Курганская область,Уральский федеральный округ,30.04.2020,1,826941,
Курская область,Центральный федеральный округ,30.04.2020,68,1103059,
Ленинградская область,Северо-Западный федеральный округ,30.04.2020,51,1876392,
Липецкая область,Центральный федеральный округ,30.04.2020,31,1139492,
Магаданская область,Дальневосточный федеральный округ,30.04.2020,2,140199,
Москва ,Центральный федеральный округ,30.04.2020,3093,12692466,65
Московская обл.,Центральный федеральный округ,30.04.2020,793,7687647,3
Мурманская область,Северо-Западный федеральный округ,30.04.2020,101,741511,
Нижегородская область,Приволжский федеральный округ,30.04.2020,150,3203818,1
Новгородская область,Северо-Западный федеральный округ,30.04.2020,13,596173,
Новосибирская область,Сибирский федеральный округ,30.04.2020,35,2798251,
Омская область,Сибирский федеральный округ,30.04.2020,10,1926562,1
Оренбургская область,Приволжский федеральный округ,30.04.2020,27,1956256,
Орловская область,Центральный федеральный округ,30.04.2020,27,733682,2
Пензенская область,Приволжский федеральный округ,30.04.2020,40,1304825,
Пермский край,Приволжский федеральный округ,30.04.2020,19,2599301,2
Приморский край,Дальневосточный федеральный округ,30.04.2020,36,1895305,
Псковская область,Северо-Западный федеральный округ,30.04.2020,7,626046,
Республика Адыгея,Южный федеральный округ,30.04.2020,9,463453,
Республика Башкортостан,Приволжский федеральный округ,30.04.2020,75,4037811,
Республика Дагестан,Северо-Кавказский федеральный округ,30.04.2020,158,3111353,
Республика Ингушетия,Северо-Кавказский федеральный округ,30.04.2020,43,506688,1
Республика Калмыкия,Южный федеральный округ,30.04.2020,9,271035,
Республика Карелия,Северо-Западный федеральный округ,30.04.2020,3,614628,
Республика Коми,Северо-Западный федеральный округ,30.04.2020,10,820171,
Республика Крым,Южный федеральный округ,30.04.2020,10,1912025,
Республика Марий Эл,Приволжский федеральный округ,30.04.2020,31,679094,
Республика Мордовия,Приволжский федеральный округ,30.04.2020,39,790829,
Республика Саха (Якутия),Дальневосточный федеральный округ,30.04.2020,24,970105,1
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,30.04.2020,93,697064,
Республика Татарстан,Приволжский федеральный округ,30.04.2020,71,3902642,
Республика Тыва,Сибирский федеральный округ,30.04.2020,2,327388,
Республика Хакасия,Сибирский федеральный округ,30.04.2020,4,534186,
Республика Чувашия,Приволжский федеральный округ,30.04.2020,47,1217820,
Ростовская область,Южный федеральный округ,30.04.2020,79,4195327,3
Рязанская область,Центральный федеральный округ,30.04.2020,40,1108924,
Самарская область,Приволжский федеральный округ,30.04.2020,40,3179026,
Санкт-Петербург,Северо-Западный федеральный округ,30.04.2020,336,5392992,
Саратовская область,Приволжский федеральный округ,30.04.2020,46,2421785,
Сахалинская область,Дальневосточный федеральный округ,30.04.2020,1,488453,
Свердловская область,Уральский федеральный округ,30.04.2020,74,4310861,
Севастополь,Южный федеральный округ,30.04.2020,1,448829,
Смоленская область,Центральный федеральный округ,30.04.2020,26,934747,
Ставропольский край,Северо-Кавказский федеральный округ,30.04.2020,43,2803021,4
Тамбовская область,Центральный федеральный округ,30.04.2020,75,1006962,1
Тверская область,Центральный федеральный округ,30.04.2020,17,1260345,2
Томская область,Сибирский федеральный округ,30.04.2020,2,1079051,
Тульская область,Центральный федеральный округ,30.04.2020,92,1466025,1
Тюменская область,Уральский федеральный округ,30.04.2020,15,1537684,
Удмуртская Республика,Приволжский федеральный округ,30.04.2020,11,1501005,2
Ульяновская область,Приволжский федеральный округ,30.04.2020,27,1229687,
Хабаровский край,Дальневосточный федеральный округ,30.04.2020,38,1315310,
Ханты-Мансийский АО,Уральский федеральный округ,30.04.2020,21,1674086,1
Челябинская область,Уральский федеральный округ,30.04.2020,67,3466960,
Чеченская Республика,Северо-Кавказский федеральный округ,30.04.2020,20,1476752,
Ямало-Ненецкий автономный округ,Уральский федеральный округ,30.04.2020,54,544008,
Ярославская область,Центральный федеральный округ,30.04.2020,23,1253189,
Ненецкий АО,Северо-Западный федеральный округ,30.04.2020,3,44110,
Чукотский АО,Дальневосточный федеральный округ,30.04.2020,1,50726,
Республика Алтай,Сибирский федеральный округ,30.04.2020,2,220140,
Республика Бурятия,Дальневосточный федеральный округ,30.04.2020,26,986109,1
Алтайский край,Сибирский федеральный округ,01.05.2020,41,2317052,
Амурская область,Дальневосточный федеральный округ,01.05.2020,11,790676,
Архангельская область,Северо-Западный федеральный округ,01.05.2020,15,1092277,
Астраханская область,Южный федеральный округ,01.05.2020,19,1005967,
Белгородская область,Центральный федеральный округ,01.05.2020,28,1547532,1
Брянская область,Центральный федеральный округ,01.05.2020,88,1192570,1
Владимирская область,Центральный федеральный округ,01.05.2020,46,1358538,2
Волгоградская область,Южный федеральный округ,01.05.2020,42,2491751,
Вологодская область,Северо-Западный федеральный округ,01.05.2020,11,1160721,
Воронежская область,Центральный федеральный округ,01.05.2020,36,2323657,
Еврейская автономная область,Дальневосточный федеральный округ,01.05.2020,7,158381,
Забайкальский край,Дальневосточный федеральный округ,01.05.2020,20,1059657,
Ивановская область,Центральный федеральный округ,01.05.2020,44,997196,
Иркутская область,Сибирский федеральный округ,01.05.2020,18,2390827,
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,01.05.2020,43,868174,
Калининградская область,Северо-Западный федеральный округ,01.05.2020,37,1012253,2
Калужская область,Центральный федеральный округ,01.05.2020,121,1000070,
Камчатский край,Дальневосточный федеральный округ,01.05.2020,16,312438,
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,01.05.2020,46,465669,
Кемеровская область,Сибирский федеральный округ,01.05.2020,2,2657758,
Кировская область,Приволжский федеральный округ,01.05.2020,18,1262549,
Костромская область,Центральный федеральный округ,01.05.2020,16,633392,
Краснодарский край,Южный федеральный округ,01.05.2020,66,5677786,
Красноярский край,Сибирский федеральный округ,01.05.2020,48,2867875,1
Курганская область,Уральский федеральный округ,01.05.2020,5,826941,
Курская область,Центральный федеральный округ,01.05.2020,66,1103059,
Ленинградская область,Северо-Западный федеральный округ,01.05.2020,44,1876392,2
Липецкая область,Центральный федеральный округ,01.05.2020,31,1139492,
Магаданская область,Дальневосточный федеральный округ,01.05.2020,9,140199,
Москва ,Центральный федеральный округ,01.05.2020,3561,12692466,47
Московская обл.,Центральный федеральный округ,01.05.2020,797,7687647,16
Мурманская область,Северо-Западный федеральный округ,01.05.2020,86,741511,
Ненецкий АО,Северо-Западный федеральный округ,01.05.2020,1,44110,
Нижегородская область,Приволжский федеральный округ,01.05.2020,179,3203818,2
Новгородская область,Северо-Западный федеральный округ,01.05.2020,18,596173,
Новосибирская область,Сибирский федеральный округ,01.05.2020,55,2798251,1
Омская область,Сибирский федеральный округ,01.05.2020,10,1926562,
Оренбургская область,Приволжский федеральный округ,01.05.2020,49,1956256,
Орловская область,Центральный федеральный округ,01.05.2020,37,733682,
Пензенская область,Приволжский федеральный округ,01.05.2020,44,1304825,
Пермский край,Приволжский федеральный округ,01.05.2020,24,2599301,
Приморский край,Дальневосточный федеральный округ,01.05.2020,27,1895305,1
Псковская область,Северо-Западный федеральный округ,01.05.2020,4,626046,
Республика Адыгея,Южный федеральный округ,01.05.2020,2,463453,
Республика Алтай,Сибирский федеральный округ,01.05.2020,1,220140,
Республика Башкортостан,Приволжский федеральный округ,01.05.2020,77,4037811,
Республика Дагестан,Северо-Кавказский федеральный округ,01.05.2020,164,3111353,
Республика Ингушетия,Северо-Кавказский федеральный округ,01.05.2020,47,506688,2
Республика Калмыкия,Южный федеральный округ,01.05.2020,39,271035,
Республика Карелия,Северо-Западный федеральный округ,01.05.2020,8,614628,
Республика Коми,Северо-Западный федеральный округ,01.05.2020,28,820171,
Республика Крым,Южный федеральный округ,01.05.2020,3,1912025,
Республика Марий Эл,Приволжский федеральный округ,01.05.2020,31,679094,1
Республика Мордовия,Приволжский федеральный округ,01.05.2020,30,790829,
Республика Саха (Якутия),Дальневосточный федеральный округ,01.05.2020,22,970105,
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,01.05.2020,73,697064,
Республика Татарстан,Приволжский федеральный округ,01.05.2020,71,3902642,
Республика Тыва,Сибирский федеральный округ,01.05.2020,6,327388,
Республика Хакасия,Сибирский федеральный округ,01.05.2020,25,534186,
Республика Чувашия,Приволжский федеральный округ,01.05.2020,41,1217820,
Ростовская область,Южный федеральный округ,01.05.2020,83,4195327,3
Рязанская область,Центральный федеральный округ,01.05.2020,43,1108924,2
Самарская область,Приволжский федеральный округ,01.05.2020,25,3179026,
Санкт-Петербург,Северо-Западный федеральный округ,01.05.2020,349,5392992,4
Саратовская область,Приволжский федеральный округ,01.05.2020,49,2421785,
Сахалинская область,Дальневосточный федеральный округ,01.05.2020,1,488453,
Свердловская область,Уральский федеральный округ,01.05.2020,232,4310861,
Севастополь,Южный федеральный округ,01.05.2020,7,448829,
Смоленская область,Центральный федеральный округ,01.05.2020,26,934747,
Ставропольский край,Северо-Кавказский федеральный округ,01.05.2020,89,2803021,
Тамбовская область,Центральный федеральный округ,01.05.2020,63,1006962,
Тверская область,Центральный федеральный округ,01.05.2020,29,1260345,
Томская область,Сибирский федеральный округ,01.05.2020,8,1079051,1
Тульская область,Центральный федеральный округ,01.05.2020,82,1466025,
Тюменская область,Уральский федеральный округ,01.05.2020,7,1537684,
Удмуртская Республика,Приволжский федеральный округ,01.05.2020,9,1501005,
Ульяновская область,Приволжский федеральный округ,01.05.2020,23,1229687,
Хабаровский край,Дальневосточный федеральный округ,01.05.2020,30,1315310,
Ханты-Мансийский АО,Уральский федеральный округ,01.05.2020,18,1674086,
Челябинская область,Уральский федеральный округ,01.05.2020,44,3466960,
Чеченская Республика,Северо-Кавказский федеральный округ,01.05.2020,19,1476752,
Чукотский АО,Дальневосточный федеральный округ,01.05.2020,2,50726,
Ямало-Ненецкий автономный округ,Уральский федеральный округ,01.05.2020,51,544008,
Ярославская область,Центральный федеральный округ,01.05.2020,64,1253189,1
Республика Бурятия,Дальневосточный федеральный округ,01.05.2020,26,986109,1
Алтайский край,Сибирский федеральный округ,02.05.2020,28,2317052,
