<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;D;250427;000000;74.56;75.04;74.13;74.87;2938700
AFLT;D;250428;000000;74.71;75;72.52;73.5;34074620
AFLT;D;250429;000000;73.5;73.76;69.75;70.79;25454310
AFLT;D;250430;000000;70.79;72.2;68.2;71.12;43246480
AFLT;D;250502;000000;70.79;70.96;67.1;67.22;16724080
AFLT;D;250503;000000;67.23;68.02;66.88;67.56;2680110
AFLT;D;250504;000000;67.5;68.94;67.5;68.27;3805570
AFLT;D;250505;000000;68.36;68.65;66.7;68.04;17395880
AFLT;D;250506;000000;68.1;69.77;67.29;68.86;17006840
AFLT;D;250507;000000;68.73;70.34;68.72;69.83;18926660
AFLT;D;250508;000000;69.91;70.85;69.8;69.95;9651450
AFLT;D;250510;000000;70.11;70.37;69.8;70.07;1006410
AFLT;D;250511;000000;71;72.03;70.63;71.04;5062370
AFLT;D;250512;000000;71.33;72.97;71.11;72.1;16067830
AFLT;D;250513;000000;72.19;72.38;71.16;71.29;10650110
AFLT;D;250514;000000;71.28;71.54;68.5;68.56;17222460
AFLT;D;250515;000000;68.56;70.19;68.53;70.13;23143040
AFLT;D;250516;000000;70.08;70.14;67.12;69.16;30212460
AFLT;D;250517;000000;69.15;70.64;69.12;70.51;3428910
AFLT;D;250518;000000;71.27;71.27;70.6;71.24;4704670
AFLT;D;250519;000000;71.07;71.33;69.44;69.8;19163090
AFLT;D;250520;000000;70;70;68.56;68.82;7432060
AFLT;D;250521;000000;68.84;68.86;67.79;68.01;9631340
AFLT;D;250522;000000;68.07;68.33;66.43;67.25;17820650
AFLT;D;250523;000000;67.2;68.15;66.75;67.09;10184950
AFLT;D;250526;000000;67.01;67.1;64.22;64.31;23455720
AFLT;D;250527;000000;64.19;65.25;62.55;65.25;25226850
AFLT;D;250528;000000;65.47;68;65.26;67.56;21444310
AFLT;D;250529;000000;67.6;67.97;66.56;67.07;13355080
